site_number,airport_name,icao,s_week_start,s_week_end,s_sat_start,s_sat_end,s_sun_start,s_sun_end,s_ph_start,s_ph_end,w_week_start,w_week_end,w_sat_start,w_sat_end,w_sun_start,w_sun_end,w_ph_start,w_ph_end,taf_freq,taf_len,rules,bench,country_code,grouping
3649,Brize Norton,EGVN,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,ENG,Defence
3068,Lossiemouth,EGQS,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,SCT,Defence
3171,Leuchars,EGQL,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,SCT,Defence
3224,Spadeadam,EGOM,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3257,Leeming,EGXE,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3302,Valley,EGOV,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,WLS,Defence
3373,Scampton,EGXP,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3377,Waddington,EGXW,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,ENG,Defence
3391,Coningsby,EGXC,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,ENG,Defence
3414,Shawbury,EGOS,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3440,Wittering,EGXT,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3462,Wittering,EGXT,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3482,Marham,EGYM,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3590,Wattisham,EGUW,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3658,Benson,EGUB,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3672,Northolt,EGWU,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,ENG,Defence
3746,Boscombe Down,EGDM,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3749,Middle Wallop,EGVP,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3761,Odiham,EGVO,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,12,defence,defence,ENG,Defence
3770,Lyneham,EGDL,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3771,Lyneham,EGDL,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3805,Cranwell,EGSG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3809,Culdrose,EGDR,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3853,Yeovilton,EGDY,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
354300,Woodvale,EGOW,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
